"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"JA000047662","TOKYO, JA","2025-02-15","0.00",,"51",,"41"
"JA000047662","TOKYO, JA","2025-02-16","0.00",,"53",,"45"
"JA000047662","TOKYO, JA","2025-02-17","0.00",,"45",,
"JA000047662","TOKYO, JA","2025-02-18","0.00",,"40",,
"JA000047662","TOKYO, JA","2025-02-19","0.00",,"38",,
"JA000047662","TOKYO, JA","2025-02-20","0.00",,"42",,"30"
"JA000047662","TOKYO, JA","2025-02-21","0.00",,"42",,"34"
"JA000047662","TOKYO, JA","2025-02-22","0.00",,"39",,
"JA000047662","TOKYO, JA","2025-02-23","0.00",,"42",,"31"
"JA000047662","TOKYO, JA","2025-02-24","0.00",,"41",,"32"
"JA000047662","TOKYO, JA","2025-02-25","0.00",,"48",,"33"
"JA000047662","TOKYO, JA","2025-02-26","0.00",,"50",,"39"
"JA000047662","TOKYO, JA","2025-02-27","0.00",,"51",,"40"
"JA000047662","TOKYO, JA","2025-02-28","0.00",,"54",,"42"
"JA000047662","TOKYO, JA","2025-03-01",,,"57",,"44"
"JA000047662","TOKYO, JA","2025-03-02","0.00",,"59",,"46"
"JA000047662","TOKYO, JA","2025-03-03","0.33",,"37",,
"JA000047662","TOKYO, JA","2025-03-04","0.85",,"36",,
"JA000047662","TOKYO, JA","2025-03-05","0.81","0.4","45",,"33"
"JA000047662","TOKYO, JA","2025-03-06","0.24",,"47",,
"JA000047662","TOKYO, JA","2025-03-07","0.00",,"43",,
"JA000047662","TOKYO, JA","2025-03-08","0.00",,"38",,
"JA000047662","TOKYO, JA","2025-03-09","0.37",,"46",,"33"
"JA000047662","TOKYO, JA","2025-03-10","0.00",,"50",,"38"
"JA000047662","TOKYO, JA","2025-03-11","0.00",,"51",,"43"
"JA000047662","TOKYO, JA","2025-03-12","0.06",,"54",,"48"
"JA000047662","TOKYO, JA","2025-03-13","0.57",,"58",,
"JA000047662","TOKYO, JA","2025-03-14","0.00",,"54",,
"JA000047662","TOKYO, JA","2025-03-15","0.00",,"46",,
"JA000047662","TOKYO, JA","2025-03-16","0.55",,"45",,"41"
"JA000047662","TOKYO, JA","2025-03-17","0.59",,"49",,
"JA000047662","TOKYO, JA","2025-03-18","0.00",,"47",,
"JA000047662","TOKYO, JA","2025-03-19","0.77",,"42",,
"JA000047662","TOKYO, JA","2025-03-20","0.30",,"48",,"40"
"JA000047662","TOKYO, JA","2025-03-21","0.00",,"54",,"39"
"JA000047662","TOKYO, JA","2025-03-22","0.00",,"63",,"44"
"JA000047662","TOKYO, JA","2025-03-23","0.00",,"62",,
"JA000047662","TOKYO, JA","2025-03-24","0.00",,"59",,"50"
"JA000047662","TOKYO, JA","2025-03-25","0.00",,"68",,"50"
"JA000047662","TOKYO, JA","2025-03-26","0.00",,"66",,
"JA000047662","TOKYO, JA","2025-03-27","0.08",,"67",,"54"
"JA000047662","TOKYO, JA","2025-03-28","0.18",,"63",,
"JA000047662","TOKYO, JA","2025-03-29","0.35",,"43",,
"JA000047662","TOKYO, JA","2025-03-30","0.02",,"49",,"41"
"JA000047662","TOKYO, JA","2025-03-31","0.10",,"44",,
"JA000047662","TOKYO, JA","2025-04-01","1.97",,"43",,"39"
"JA000047662","TOKYO, JA","2025-04-02","2.52",,"50",,"42"
"JA000047662","TOKYO, JA","2025-04-03","0.22",,"46",,
"JA000047662","TOKYO, JA","2025-04-04","0.16",,"53",,"42"
"JA000047662","TOKYO, JA","2025-04-05","0.00",,"56",,"43"
"JA000047662","TOKYO, JA","2025-04-06","0.00",,"59",,"51"
"JA000047662","TOKYO, JA","2025-04-07","0.00",,"56",,
"JA000047662","TOKYO, JA","2025-04-08","0.00",,"61",,"46"
"JA000047662","TOKYO, JA","2025-04-09","0.00",,"62","75","52"
"JA000047662","TOKYO, JA","2025-04-10","0.00",,"62",,"54"
"JA000047662","TOKYO, JA","2025-04-11","0.55",,"60",,
"JA000047662","TOKYO, JA","2025-04-12","0.08",,"59",,"52"
"JA000047662","TOKYO, JA","2025-04-13","0.00",,"57",,"53"
"JA000047662","TOKYO, JA","2025-04-14","0.87",,"62",,"56"
"JA000047662","TOKYO, JA","2025-04-15","0.00",,"59",,
"JA000047662","TOKYO, JA","2025-04-16","0.00",,"60",,"46"
"JA000047662","TOKYO, JA","2025-04-17","0.00",,"66",,"50"
"JA000047662","TOKYO, JA","2025-04-18","0.00",,"68",,"57"
"JA000047662","TOKYO, JA","2025-04-19","0.00",,"71",,"60"
"JA000047662","TOKYO, JA","2025-04-20","0.00",,"68",,
"JA000047662","TOKYO, JA","2025-04-21","0.00",,"63",,
"JA000047662","TOKYO, JA","2025-04-22","0.00",,"65",,"55"
"JA000047662","TOKYO, JA","2025-04-23","0.10",,"64",,"57"
"JA000047662","TOKYO, JA","2025-04-24","0.55",,"67",,"62"
"JA000047662","TOKYO, JA","2025-04-25","0.00",,"64",,
"JA000047662","TOKYO, JA","2025-04-26","0.00",,"56",,
"JA000047662","TOKYO, JA","2025-04-27","0.18",,"66",,"49"
"JA000047662","TOKYO, JA","2025-04-28","0.00",,"62",,
"JA000047662","TOKYO, JA","2025-04-29","0.81",,"62",,
"JA000047662","TOKYO, JA","2025-04-30","0.00",,"64",,"52"
"JA000047662","TOKYO, JA","2025-05-01","0.00",,"66",,"55"
"JA000047662","TOKYO, JA","2025-05-02","0.08",,"60",,
"JA000047662","TOKYO, JA","2025-05-03","1.97",,"65",,"56"
"JA000047662","TOKYO, JA","2025-05-04","0.00",,"65",,
"JA000047662","TOKYO, JA","2025-05-05","0.00",,"65",,"53"
"JA000047662","TOKYO, JA","2025-05-06","0.18",,"57",,
"JA000047662","TOKYO, JA","2025-05-07","0.93",,"65",,"55"
"JA000047662","TOKYO, JA","2025-05-08","0.00",,"65",,"58"
"JA000047662","TOKYO, JA","2025-05-09","0.00",,"65",,"58"
"JA000047662","TOKYO, JA","2025-05-10","0.61",,"66",,"59"
"JA000047662","TOKYO, JA","2025-05-11","0.06",,"68",,
"JA000047662","TOKYO, JA","2025-05-12","0.30",,"63",,"60"
"JA000047662","TOKYO, JA","2025-05-13","0.00",,"68",,"59"
"JA000047662","TOKYO, JA","2025-05-14","0.00",,"69",,"60"
"JA000047662","TOKYO, JA","2025-05-15","0.00",,"71",,"62"
"JA000047662","TOKYO, JA","2025-05-16","0.00",,"71",,"63"
"JA000047662","TOKYO, JA","2025-05-17","0.30",,"72",,"66"
"JA000047662","TOKYO, JA","2025-05-18","0.81",,"74",,
"JA000047662","TOKYO, JA","2025-05-19","0.00",,"65",,
"JA000047662","TOKYO, JA","2025-05-20","0.00",,"77",,"61"
"JA000047662","TOKYO, JA","2025-05-21","0.00",,"77",,"68"
"JA000047662","TOKYO, JA","2025-05-22","0.00",,"70",,
"JA000047662","TOKYO, JA","2025-05-23","0.00",,"66",,"62"
"JA000047662","TOKYO, JA","2025-05-24","0.00",,"63",,
"JA000047662","TOKYO, JA","2025-05-25","1.12",,"66",,"58"
"JA000047662","TOKYO, JA","2025-05-26","0.00",,"65",,
"JA000047662","TOKYO, JA","2025-05-27","0.00",,"64",,"60"
"JA000047662","TOKYO, JA","2025-05-28","0.02",,"68",,"60"
